authorized_flag,card_id,city_id,category_1,installments,category_3,merchant_category_id,merchant_id,month_lag,purchase_amount,purchase_date,category_2,state_id,subsector_id
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_912836d5d7,-5,-0.71697498,2017-09-10 16:57:20,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,683,M_ID_7c5e93af2f,-11,-0.74089719,2017-03-23 18:22:42,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-11,-0.72145288,2017-03-13 16:01:39,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-10,-0.72797439,2017-04-20 06:43:54,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,195,M_ID_5fff6ee392,-3,-0.73090456,2017-11-10 16:20:25,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,0,-0.74429318,2018-02-21 12:29:06,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,734,M_ID_672e09f3bf,-7,-0.6043062,2017-07-17 10:18:58,1.0,9,25
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-9,-0.74406778,2017-05-20 13:02:59,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,683,M_ID_7c5e93af2f,-7,-0.73939454,2017-07-13 15:07:10,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-13,-0.7149464,2017-01-07 12:55:27,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,419,,-3,-0.73939454,2017-11-28 00:00:00,1.0,9,1
Y,C_ID_4dcdeb27e4,19,N,0,A,734,M_ID_672e09f3bf,-6,-0.63435922,2017-08-07 21:29:35,1.0,9,25
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-6,-0.74315117,2017-08-31 15:13:56,1.0,9,7
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-5,-0.73488659,2017-09-13 09:53:17,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,80,M_ID_d852d26298,-13,-0.73278287,2017-01-08 18:41:55,1.0,9,37
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-11,-0.74217444,2017-03-23 09:38:12,1.0,9,34
Y,C_ID_4dcdeb27e4,69,N,0,A,879,M_ID_00a6ca8a8a,0,-0.73714056,2018-02-27 15:19:13,1.0,9,29
Y,C_ID_4dcdeb27e4,19,N,0,A,367,M_ID_33228621ad,-4,-0.694315,2017-10-06 17:21:29,1.0,9,16
Y,C_ID_4dcdeb27e4,314,N,0,A,557,M_ID_762ea418c0,-7,-0.53737811,2017-07-05 15:27:56,1.0,9,29
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-7,-0.7397702,2017-07-11 15:29:16,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_912836d5d7,-2,-0.68680175,2017-12-30 19:57:32,1.0,9,33
Y,C_ID_4dcdeb27e4,233,N,0,A,683,M_ID_72d720df70,-4,-0.73789189,2017-10-26 16:16:56,1.0,9,34
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-5,-0.74164852,2017-09-11 09:53:41,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,884,M_ID_d827bf98f7,-13,-0.61169924,2017-01-20 14:31:36,1.0,9,27
Y,C_ID_4dcdeb27e4,314,N,0,A,511,M_ID_756060d55f,-9,-0.74089719,2017-05-04 15:45:28,1.0,9,7
Y,C_ID_4dcdeb27e4,158,N,0,A,755,,-4,-0.70934152,2017-10-06 09:55:46,1.0,15,8
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-2,-0.7427154,2017-12-02 15:26:04,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-13,-0.74244492,2017-01-18 15:45:07,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,419,,-3,-0.74089719,2017-11-23 00:00:00,1.0,9,1
Y,C_ID_4dcdeb27e4,19,N,0,A,705,M_ID_912836d5d7,-7,-0.70653156,2017-07-14 14:05:22,1.0,9,33
Y,C_ID_4dcdeb27e4,19,N,0,A,560,M_ID_1fca6d4757,-8,-0.7201606,2017-06-07 11:49:58,1.0,9,34
Y,C_ID_4dcdeb27e4,314,N,0,A,631,M_ID_7c0e0da991,-1,-0.63420896,2018-01-05 14:51:08,1.0,9,25
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-9,-0.73942459,2017-05-31 15:02:48,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,705,M_ID_46751e9713,-5,-0.7407319,2017-09-13 15:39:31,1.0,9,33
Y,C_ID_4dcdeb27e4,314,N,0,A,80,M_ID_b1bd67a5ab,-2,-0.72887598,2017-12-25 19:18:30,1.0,9,37
