merchant_id,merchant_group_id,merchant_category_id,subsector_id,numerical_1,numerical_2,category_1,most_recent_sales_range,most_recent_purchases_range,avg_sales_lag3,avg_purchases_lag3,active_months_lag3,avg_sales_lag6,avg_purchases_lag6,active_months_lag6,avg_sales_lag12,avg_purchases_lag12,active_months_lag12,category_4,city_id,state_id,category_2
M_ID_c9855bf3e3,321,690,1,-0.05747065,-0.05747065,Y,E,E,,1084.0,3,,3432.66666667,6,,5236.0,12,Y,-1,-1,
M_ID_b694de6ca2,3755,278,37,-0.05747065,-0.05747065,N,E,E,201934.57,166.0,3,222619.71,177.83333333,6,229487.0,181.83333333,12,N,-1,16,1.0
M_ID_e0d8aac70d,39109,560,34,-0.05747065,-0.05747065,N,E,E,553.36,191.33333333,3,754.72,248.33333333,6,1002.14,327.25,12,Y,88,16,1.0
M_ID_7ce96c351a,35,302,22,-0.05747065,-0.05747065,N,E,E,851844.64,61851.33333333,3,770443.34,56077.5,6,689561.85,50215.55555556,9,Y,69,9,1.0
M_ID_79c5ae42b3,7221,90,22,-0.05747065,-0.05747065,Y,E,E,499.26,37.33333333,3,1360.9,286.66666667,6,1800.55,417.11111111,9,Y,-1,-1,
M_ID_35779debaf,53602,63,27,-0.05747065,-0.05747065,N,E,E,152.73,50.66666667,3,267.9,88.33333333,6,376.84,107.0,12,Y,161,3,3.0
M_ID_106e79748f,62100,108,34,-0.05747065,-0.05747065,N,E,E,4.28,2.33333333,3,6.63,2.66666667,6,46.94,10.91666667,12,N,-1,21,5.0
M_ID_9e25e607dd,17667,705,33,-0.05747065,-0.05747065,N,E,E,63.81,48.33333333,3,75.85,57.66666667,6,84.58,62.08333333,12,N,136,4,4.0
M_ID_036428b9fc,52384,705,33,-0.05747065,-0.05747065,N,E,E,59.43,15.16666667,3,96.95,24.58333333,6,1488.66,504.33333333,12,N,-1,9,1.0
M_ID_1e0e517192,23189,68,27,-0.05747065,-0.05747065,N,E,E,116.86,76.33333333,3,153.63,99.66666667,6,238.85,119.38888889,12,N,-1,9,1.0
M_ID_6dc1b45985,14498,80,37,-0.05747065,-0.05747065,N,E,E,39.48,33.08333333,3,49.51,38.54166667,6,57.24,43.25,12,Y,1,12,1.0
M_ID_303b6088a1,7613,307,19,-0.05747065,-0.05747065,N,E,E,73.84,69.33333333,3,288.56,277.66666667,6,383.99,369.25,12,Y,143,5,5.0
M_ID_0a31abc15c,14398,80,37,-0.05747065,-0.05747065,N,E,E,2.6,1.33333333,3,32.33,17.5,6,89.05,48.65277778,12,N,115,9,1.0
M_ID_cd2e4ec1c0,9936,557,29,-0.05747065,-0.05747065,N,E,E,1.09,0.93333333,3,1.02,0.9,6,2.3,1.38333333,12,Y,143,5,5.0
M_ID_cd5cdbbcce,755,703,29,-0.05747065,-0.05747065,N,E,E,0.69,0.75,3,82.64,43.91666667,6,123.21,68.89583333,12,N,340,9,1.0
M_ID_6b427e4d06,635,703,29,-0.05747065,-0.05747065,N,E,E,1.51,1.11111111,3,5.38,3.27777778,6,46.94,20.33333333,12,N,90,15,1.0
M_ID_43e30a8901,35473,367,16,-0.05747065,-0.05747065,N,E,E,1.14,1.19047619,3,2.49,1.47619048,6,2.48,1.51190476,12,Y,17,22,4.0
M_ID_536d13e6d1,98085,222,21,-0.05747065,-0.05747065,N,E,E,9.86,3.83333333,3,14.06,5.16666667,6,22.89,5.08333333,12,N,-1,9,1.0
M_ID_82390d8114,1794,497,27,-0.05747065,-0.05747065,N,E,E,2.55,2.33333333,3,8.06,4.83333333,6,6.31,3.75,12,N,-1,9,1.0
M_ID_f612d7d66d,35,374,25,-0.05747065,-0.05747065,N,E,E,0.37,1.0,3,0.97,1.25,4,0.97,1.25,4,N,189,9,1.0
M_ID_4f13d4b664,27245,554,25,-0.05747065,-0.05747065,N,E,E,6.45,1.47619048,3,15.41,4.71428571,6,62.15,14.89285714,12,N,248,15,1.0
M_ID_d95a69d39f,11946,307,19,-0.05747065,-0.05747065,N,E,E,34.11,25.5,3,223.85,237.83333333,6,748.13,858.66666667,12,N,260,5,5.0
M_ID_0389038552,15716,307,19,-0.05747065,-0.05747065,N,E,E,9.71,4.11111111,3,12.37,5.38888889,6,18.19,7.22222222,9,N,-1,3,3.0
M_ID_e7e22d1cd8,48507,705,33,-0.05747065,-0.05747065,N,E,E,3.2,3.37037037,3,4.41,4.12962963,6,3.53,3.67592593,12,N,-1,9,1.0
M_ID_dbbf07ebf0,69462,278,37,-0.05747065,-0.05747065,N,E,E,52.08,45.33333333,3,75.36,68.0,6,82.95,70.45,10,Y,17,22,4.0
M_ID_dbbf07ebf0,35,278,37,-0.05747065,-0.05747065,N,E,E,52.08,45.33333333,3,75.36,68.0,6,82.95,70.45,10,Y,17,22,4.0
M_ID_dbbf07ebf0,69462,278,37,-0.04755575,-0.04755575,N,D,D,1.12,1.13297872,3,1.23,1.23404255,6,1.3,1.3125,12,Y,17,22,4.0
M_ID_dbbf07ebf0,35,278,37,-0.04755575,-0.04755575,N,D,D,1.12,1.13297872,3,1.23,1.23404255,6,1.3,1.3125,12,Y,17,22,4.0
M_ID_774d1ca48e,3291,367,16,-0.05747065,-0.05747065,N,E,E,1.41,1.25,3,2.17,1.51388889,6,2.27,1.45454545,11,N,66,19,3.0
M_ID_5f0403a674,49738,813,29,-0.05747065,-0.05747065,N,E,E,7.46,10.66666667,3,168.88,430.66666667,6,140.3,451.5,12,Y,17,22,4.0
M_ID_c470fbcfb9,35,574,22,-0.04755575,-0.04755575,Y,E,E,1.06,0.91666667,3,1.06,0.91666667,6,1.03,0.88888889,9,Y,-1,-1,
M_ID_c470fbcfb9,35,574,22,1.8858506,1.8858506,Y,C,C,1.02,0.96741203,3,1.16,1.09234703,6,1.19,1.18983601,12,Y,-1,-1,
M_ID_f89ee8adac,13778,80,37,-0.05747065,-0.05747065,N,E,E,5.92,3.51851852,3,7.06,4.34259259,6,9.09,5.71759259,12,Y,1,12,1.0
M_ID_0d6ce4d758,53458,683,34,-0.05747065,-0.05747065,N,E,E,10.32,14.46666667,3,20.46,27.63333333,6,25.01,34.8,12,N,-1,9,1.0
M_ID_f04a9bd0ba,41029,884,27,-0.05747065,-0.05747065,N,E,E,8.6,7.33333333,3,8.55,9.0,6,7.89,7.77272727,11,N,-1,5,5.0
M_ID_a4b04b9c17,12333,278,37,-0.05747065,-0.05747065,N,E,E,1.82,2.0,3,6.86,7.55555556,6,6.86,7.55555556,6,N,337,20,5.0
M_ID_b1644ba948,23023,80,37,-0.05747065,-0.05747065,N,E,E,14.96,17.52777778,3,23.46,27.23611111,6,19.49,22.61458333,8,Y,158,15,1.0
M_ID_7740197972,76576,683,34,-0.05747065,-0.05747065,N,E,E,2.5,11.66666667,3,21.55,103.0,6,31.11,145.41666667,12,N,278,5,5.0
M_ID_508ecbdcde,35,650,29,-0.05747065,-0.05747065,N,E,E,45.61,173.66666667,3,71.74,261.16666667,6,74.14,299.08333333,12,Y,158,15,1.0
M_ID_508ecbdcde,35,650,29,25.67170615,24.31336425,N,A,A,1.19,1.20529383,3,1.26,1.28634097,6,1.3,1.30967751,12,Y,158,15,1.0
M_ID_9e34379540,26311,369,27,-0.05747065,-0.05747065,N,E,E,5.96,1.55555556,3,4.17,1.5,6,5.31,2.02777778,12,N,-1,20,5.0
M_ID_9388be5529,49976,278,37,-0.05747065,-0.05747065,N,E,E,1.24,1.4,3,1.14,1.21666667,6,2.15,2.3,12,Y,1,12,1.0
M_ID_16aa1940c9,13385,422,27,-0.05747065,-0.05747065,N,E,E,1.66,0.66666667,3,3.99,1.5,6,5.86,2.20833333,12,Y,87,11,3.0
M_ID_725f8cf5ba,8714,705,33,-0.02772594,-0.02772594,N,E,E,46.67,33.51851852,3,52.93,39.28703704,6,53.49,39.31481481,12,N,-1,21,5.0
M_ID_f497620c18,48764,307,19,-0.05747065,-0.05747065,N,E,E,18.8,20.46666667,3,38.61,48.06666667,6,39.08,51.61666667,12,Y,88,16,1.0
M_ID_9374e27bd4,1438,497,27,-0.05747065,-0.05747065,N,E,E,3.33,2.0,3,2.84,2.0,6,2.76,1.94642857,8,Y,88,16,1.0
M_ID_ec78e17cff,39876,560,34,-0.05747065,-0.05747065,N,E,E,13.21,13.91111111,3,17.14,17.65555556,6,20.85,20.03809524,7,N,347,20,5.0
M_ID_b3a579f6d0,41588,307,19,-0.05747065,-0.05747065,N,E,E,35.74,42.06666667,3,82.79,93.4,6,99.01,106.1,10,Y,87,11,3.0
